ride_id,pickup_datetime,pickup_lat,pickup_lng,dropoff_lat,dropoff_lng,passenger_count,distance_km,hour,dayofweek,is_weekend,is_night,is_peak,weather,traffic_level,demand_score,supply_score,event_flag,surge_multiplier,surge_label,eta_minutes,fare_amount
MX000001,2024-01-01 00:00:00,28.5294994838899,77.2344832644359,28.55299164099827,77.14418572053324,1,6.262282311355784,3,3,0,1,0,Fog,Low,0.675,0.756,0,2.9,0,39,580.94
MX000002,2024-01-01 01:00:00,28.53725360320944,77.35944452313385,28.57466411810439,77.0559337324598,1,15.664934277065175,15,5,1,1,0,Rain,Low,0.507,0.85,0,1.7,1,20,754.7
MX000003,2024-01-01 02:00:00,28.45062335583846,77.21261310471091,28.748094164468963,77.36866583393778,2,13.46416092871851,11,6,1,1,0,Haze,Low,0.212,0.957,0,2.9,0,43,611.45
MX000004,2024-01-01 03:00:00,28.71460697232288,77.36577386790756,28.64227754030197,77.05068543836211,1,14.446878719762438,10,1,0,0,0,Rain,Medium,0.767,0.929,0,1.9,0,30,590.43
MX000005,2024-01-01 04:00:00,28.58922850058797,77.29177886464107,28.821442271271764,77.19964324642436,1,25.838149096176874,7,4,0,1,1,Clear,Medium,0.239,0.691,0,2.5,1,19,358.72
MX000006,2024-01-01 05:00:00,28.856430148213384,77.07998273039347,28.452634672070538,76.97060091842279,2,1.0797975406866294,1,1,1,1,0,Fog,High,0.326,0.229,0,1.1,0,10,227.59
MX000007,2024-01-01 06:00:00,28.76829226417626,77.38425019916536,28.678374877256612,77.31408616293245,1,13.639928716133982,19,6,1,1,0,Clear,High,0.419,0.795,0,2.6,1,18,777.89
MX000008,2024-01-01 07:00:00,28.767382426473517,77.13721030801958,28.408522090724638,77.33983871635293,2,11.946019134778616,1,5,1,1,0,Rain,Low,0.977,0.631,0,2.0,0,29,341.36
MX000009,2024-01-01 08:00:00,28.875472440956095,77.03247609738736,28.810531133944615,77.103285174969,4,14.219901966266496,2,2,1,0,1,Haze,Medium,0.902,0.698,0,1.9,0,28,225.03
MX000010,2024-01-01 09:00:00,28.807997984480757,77.31161882107168,28.468941109215162,77.02236282891714,1,15.954117020301341,5,1,1,0,0,Clouds,High,0.267,0.844,0,3.1,1,16,493.01
